20
24
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,25,25,25,25
25,25,25,24,25,25,25,25,25,24,24,24,25,24,24,24,25,24,25,25,65,65,65,65
25,65,65,24,24,24,24,24,24,24,25,24,25,64,24,25,25,24,25,25,24,24,25,64
25,24,24,64,64,24,25,24,24,24,25,24,25,64,24,67,65,66,25,25,64,24,25,64
24,25,25,25,24,25,25,64,24,25,25,25,25,24,25,25,25,25,67,25,24,24,24,25
25,25,25,25,24,25,65,24,25,25,65,25,65,25,65,65,66,65,65,65,24,24,24,25
25,65,25,25,25,24,24,25,25,65,24,24,24,24,25,65,25,26,27,24,64,24,24,25
25,65,25,24,24,24,24,24,24,24,64,64,24,24,24,24,24,25,24,28,29,64,24,25
25,65,24,64,24,24,64,64,64,64,65,24,64,24,64,64,24,24,24,68,69,65,24,25
25,65,64,24,64,64,64,65,25,25,25,64,64,64,64,65,24,64,64,64,24,25,24,25
25,65,64,64,64,65,25,25,65,65,65,64,65,64,65,24,64,26,27,64,24,25,24,24
65,24,64,64,65,65,65,65,65,65,24,64,65,64,65,25,64,65,25,64,24,24,64,24
24,25,64,64,64,65,65,65,65,64,24,25,25,64,65,25,64,65,25,24,24,24,25,24
24,25,65,64,64,65,65,25,25,25,25,25,65,64,68,69,64,65,24,24,64,64,65,25
