Object
solid,0,0,544,144
solid,0,144,64,480
solid,480,144,64,480
solid,448,576,32,48
solid,80,128,32,240
solid,432,128,32,240
solid,64,368,144,80
solid,336,368,144,80
solid,336,336,48,32
solid,160,336,48,32
solid,176,304,32,32
solid,336,304,32,32
solid,160,128,224,48
solid,96,400,64,80
solid,384,400,64,80
solid,64,624,384,16
****************************************************************************************************
Map
bot,34,39
197,198,199,200,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,195,196,197,198,
237,238,239,240,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,235,236,237,238,
277,278,279,280,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,275,276,277,278,
317,318,319,320,0,0,0,0,23,23,23,23,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,316,317,318,
357,358,359,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355,356,357,358,
397,398,399,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395,396,397,398,
437,438,439,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435,436,437,438,
477,478,479,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,475,476,477,478,
517,518,519,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515,516,517,518,
557,558,559,560,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,0,555,556,557,558,
23,63,23,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,0,63,23,63,23,
198,199,200,63,63,63,63,63,63,63,63,23,63,63,63,63,63,63,63,63,63,63,23,63,63,63,63,63,63,0,63,195,196,197,
238,239,240,63,63,63,63,63,63,63,23,63,63,25,25,26,25,26,65,25,68,63,63,23,63,63,63,63,63,0,63,235,236,237,
278,279,280,63,63,63,63,63,63,63,63,23,63,63,63,63,63,63,63,63,63,63,23,63,63,63,63,63,63,0,63,275,276,277,
